bodyId_post,class,celltypePredictedNt,predictedNtProb,hemilineage,modality,size,type_post,downstream,upstream,description
10226,intrinsic neuron,acetylcholine,0.8801238536834717,TBD,tactile_unknown,4397342183,INXXX027,9718,16762,-
10327,ascending neuron,gaba,0.8990495204925537,05B,chemosensory_unknown,4888925789,AN05B004,11594,12780,-
10333,intrinsic neuron,acetylcholine,0.8358152508735657,TBD,tactile_unknown,4346337142,INXXX027,9417,14170,-
10408,intrinsic neuron,acetylcholine,0.8077304363250732,TBD,unknown,1755149298,INXXX100,8569,8721,-
10878,ascending neuron,acetylcholine,0.9370914101600647,TBD,mixed,2483657766,ANXXX055,10012,8567,-
11453,efferent neuron,gaba,0.4014788866043091,00B,-,2404405437,EN00B016,22,2881,dorsal
11469,efferent neuron,acetylcholine,0.34182679653167725,00B,-,2399933852,EN00B010,7,2631,-
11648,intrinsic neuron,acetylcholine,0.9563730955123901,TBD,-,2279961645,INXXX084,8741,5226,-
11670,ascending neuron,gaba,0.9020493030548096,05B,chemosensory_unknown,4470552769,AN05B004,11168,12236,-
11695,intrinsic neuron,acetylcholine,0.852316677570343,TBD,unknown,2225303836,INXXX100,9460,12170,-
11758,ascending neuron,acetylcholine,0.8968434929847717,09B,chemosensory_unknown,2222224884,AN09B018,4768,6716,-
11810,ascending neuron,acetylcholine,0.9030006527900696,TBD,mixed,2555347806,ANXXX055,10081,8699,-
11870,intrinsic neuron,acetylcholine,0.9583633542060852,TBD,-,2138325169,INXXX084,8383,4924,-
11873,intrinsic neuron,acetylcholine,0.9635022878646851,TBD,-,2196175505,INXXX084,8508,4949,-
11878,ascending neuron,acetylcholine,0.8680905699729919,09B,chemosensory_unknown,2153030171,AN09B018,4635,6436,-
12295,ascending neuron,acetylcholine,0.9654042720794678,TBD,-,1899110022,ANXXX099,5409,4476,-
12539,ascending neuron,acetylcholine,0.9410874843597412,TBD,-,1784943546,ANXXX099,5565,3806,-
12691,intrinsic neuron,acetylcholine,0.9560533165931702,TBD,-,2368720912,INXXX084,8937,4906,-
13052,ascending neuron,acetylcholine,0.8832308650016785,01A,chemosensory_unknown,1662765480,AN01A021,7491,6524,"aV, mainly contra"
13251,intrinsic neuron,gaba,0.8738227486610413,05B,tactile_unknown,1811707708,IN05B036,6736,6430,5B in T2 LHS
13516,intrinsic neuron,gaba,0.7420854568481445,00A,chemosensory_unknown,1684722581,IN00A024,8052,2759,-
14238,intrinsic neuron,acetylcholine,0.9106282591819763,TBD,unknown,733717136,INXXX281,3559,3130,aV S-shape
14487,ascending neuron,acetylcholine,0.9574224352836609,TBD,chemosensory_unknown,1171534908,ANXXX196,3657,4066,-
14605,intrinsic neuron,gaba,0.8306366801261902,00A,chemosensory_unknown,1425731564,IN00A024,5099,3350,-
